name,symbol,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d
Bitcoin,BTC,33714.42870071497,53159296458.43684,92.6134,-0.68287407,7.05435389,18.09507128,27.37548981
Ethereum,ETH,1775.1485026763014,19314204519.872517,77.1415,-0.47184834,3.93724581,13.37118425,11.83862226
Tether USDt,USDT,0.9998278552218677,70082011118.92555,80.5656,0.0010068,-0.06423199,-0.04564318,-0.04092132
BNB,BNB,224.40117998026514,781641060.0224018,61.2862,-0.61504625,0.95537511,5.99264734,7.14848065
XRP,XRP,0.5564982232608856,2931907126.5435014,112.5749,-0.53974903,3.9860017,12.89207293,9.96286163
USDC,USDC,1.0000268274622237,8872262374.74438,50.6882,0.00838925,0.00392916,0.00690747,-0.02511526
Solana,SOL,30.033766272225364,1673202155.1259902,31.5407,-1.84388919,0.30444881,24.22922354,54.72687291
Cardano,ADA,0.2765679896317017,445693758.46951276,83.2305,-0.68707241,2.72021101,11.81360556,13.10030532
Dogecoin,DOGE,0.06609600580601367,764052059.5910338,50.9005,-0.8143085,2.0897808,11.87010109,8.23290652
TRON,TRX,0.0921458651485726,380489839.2268145,57.6968,-0.1839927,1.17084251,4.37527533,9.69822956
